submitter_id,AT2_TRU_score,AT1_score,Club_secretory_score,Ciliated_score,Basal_score,Mucinous_gastric_score,Proliferative_score,EMT_mesenchymal_score,AT2_TRU_p,AT1_p,Club_secretory_p,Ciliated_p,Basal_p,Mucinous_gastric_p,Proliferative_p,EMT_mesenchymal_p,dominant_lineage,lineage_entropy,NKX2_1_expr,driver_gene,RPA_pos
TCGA-05-4244,0.41963840831969396,0.06275891629303004,0.16726669785088433,0.49148781298236915,-0.2870978507338533,-0.15722427257196359,0.3774694368199525,-0.42013115690768704,0.16675746214766077,0.11670634900116623,0.12956319104162203,0.1791798121833377,0.08225335468451593,0.09366061344298796,0.15987167509923814,0.0720075423994712,Ciliated,2.032061175962611,0.45212076944815116,KRAS,1.0
TCGA-05-4250,-0.1191636454030947,0.33498263288395796,-0.3866581438576991,0.4375922361418646,0.5785170583247834,0.19113063210271983,1.1535140256181462,0.4918655807846315,0.07209407205341728,0.11353578809110916,0.05517319977473375,0.12580432253586735,0.1448433083777616,0.09832379864294472,0.2574046843032658,0.1328208262209004,Proliferative,1.9826235375856276,-0.1799923583277507,KRAS,1.0
TCGA-05-4382,-1.1291590942118879,0.007656562456724513,-0.7470303142286164,-0.6236116849980399,0.20337708805199697,-0.3112446036053154,-0.0992919300964408,0.8257805424295692,0.04317654670795713,0.13457384801186664,0.06327094553748523,0.07158208668931228,0.16366695974238257,0.0978281079552617,0.12092428569256954,0.304977219663165,EMT_mesenchymal,1.9102512073837905,-0.29373998819651576,,0.0
TCGA-05-4384,0.7519849752565393,0.6892456489313474,0.2132643737204646,-0.15207468303929378,-0.4832067855685423,0.23591854014415503,-1.303187580809087,-0.18033780924530035,0.23057642564910222,0.21655467279525806,0.13454002932783277,0.09336557617144096,0.0670467817822835,0.13762270745692526,0.029530092142544453,0.09076371467461283,AT2_TRU,1.9367955441884543,0.8468277728536734,RIT1,1.0
TCGA-05-4389,0.02026016966715799,-0.13023823170137752,-0.1952663026149494,-0.2235298808255026,-0.13203271692400395,0.1181975510770291,0.4861292392624659,-0.7876636958366975,0.13421270202907276,0.11546038321818604,0.10819113135632455,0.10517607174737689,0.11525337705700055,0.14802234638607573,0.21385429949191767,0.05982968871404589,Proliferative,2.0264300230722614,0.07114349594685229,BRAF,1.0
TCGA-05-4390,0.25454018911798515,-1.0446511898956727,-0.6791566087219286,-1.063206272394842,-0.7364400445479521,0.24570086203058417,1.081825277752744,0.09357312186518689,0.15541412813352407,0.04238955423135055,0.061092954623908236,0.04161026480370058,0.0576916884088881,0.1540464255116594,0.35544781210196164,0.1323071721850073,Proliferative,1.8143815616242391,0.4908095116617078,KRAS,1.0
TCGA-05-4395,-1.6281509448931593,-0.8857112095095974,-0.3495653715720447,-0.11205850766150986,0.4915221746096107,-0.26714721356186083,0.3736268736489444,-0.455800462022138,0.02931923248860078,0.06160132838505352,0.1053016694180584,0.13353133065332343,0.24418272527837026,0.11434811443874345,0.21702694539478848,0.09468865394306167,Basal,1.9280294855881857,-3.2242644571575805,KRAS,1.0
TCGA-05-4396,0.07950945010032374,-0.8942044724909848,0.7519954336940652,0.026407484695978485,-0.8117592606723394,0.9658550143136743,-0.5607680823845224,-0.9869119365089326,0.12511214884859717,0.04725207665123642,0.24510740676814166,0.11864176331457431,0.05131288114402993,0.30355295916944347,0.06595238177501361,0.04306838232896339,Mucinous_gastric,1.830861192143534,0.2669967291501451,SOS1,1.0
TCGA-05-4397,-1.6268815848355327,-0.8462467429706236,-1.0110356898759343,-0.6805726050940324,0.07061313431106267,-1.0430149816208136,1.635027287505708,-0.24467377885631716,0.0222486891122215,0.04856572000975522,0.04118726001220936,0.05731670232356516,0.12148342208404109,0.03989095848322418,0.5806754314135363,0.08863181656144724,Proliferative,1.4418293838813516,-1.3603399659547462,,0.0
TCGA-05-4398,-0.25099950065042514,-0.11991540505869058,-0.45317553558407614,-0.11073627127375023,-0.2971087965665682,-0.3487792264285101,0.4913470168230772,0.27338395870768367,0.10246264905163556,0.1168139418312567,0.08370697419492389,0.11789112889001051,0.0978454347106731,0.09291811364951208,0.21525962336204818,0.17310213430994004,Proliferative,2.026360214086527,0.44016408413420827,,0.0
TCGA-05-4402,0.18058940507010568,0.21968271087546595,0.5333919032756198,0.9129403010967857,0.9786726681778434,0.05598159510985463,-0.017908514465630614,0.2593982287924677,0.09479604366380241,0.09857532538947371,0.1348995156933737,0.19717241931724602,0.2105684836031273,0.08369003087164668,0.07772910394212362,0.10256907751920667,Basal,2.0099046506849407,0.24526556724875856,EGFR,1.0
TCGA-05-4403,0.38076200259154597,0.6080611018708675,0.6065253565476978,0.21199716040271135,0.5242748178979788,1.9648539660009725,-0.8936890310167502,-0.22543905655130902,0.0892269233963582,0.11199810204457958,0.11182623349010465,0.07537065314398267,0.10299656530786865,0.434969010904513,0.02494645660403397,0.04866605510855942,Mucinous_gastric,1.7360712462700443,-0.7955116072458994,KRAS,1.0
TCGA-05-4405,0.4139682744063105,-0.18144487254893177,0.5463659917686199,0.10592881883676197,0.09188672134104556,-0.1233768958540011,-0.6544059723492803,0.5166119212961129,0.1615931040990687,0.08909189147511712,0.18446858719598858,0.11875256194463799,0.11709668012778007,0.09441843142714322,0.05551799629537695,0.17906074743488742,Club_secretory,2.0172620626376285,0.6482013160604546,KRAS,1.0
TCGA-05-4410,0.34156138098325667,-0.31054196668426426,0.5571434890036429,0.7556650282788204,0.19643153854373804,-0.3096875838067517,-0.41012783906271644,-0.5866058272733944,0.15319337048841,0.07980591584693816,0.19004921991874937,0.23178370484403985,0.1324984755869969,0.07987412979122549,0.07224128975854738,0.06055389376509287,Ciliated,1.9728968765606625,0.3154599479511458,BRAF,1.0
TCGA-05-4415,-0.4430225608162061,-0.04998990380650434,-1.6837387282824652,-1.2901861447111096,-0.8049377992722563,0.22786209768953558,0.9762322476201366,-0.9226723623603834,0.09429852389672137,0.13970012950119967,0.02726896844787884,0.040419080066522936,0.0656639650459768,0.1844447931811051,0.3898337416169087,0.058370798243686586,Proliferative,1.7492053893963582,-1.956082948288997,KRAS,1.0
TCGA-05-4417,0.6032491866541648,-0.267982565067784,-0.003117588543704982,-0.41227918428302157,-0.24630216324563226,0.5132058885208856,-0.2177259428827636,0.8676003466375366,0.18484077674709126,0.07734400247636417,0.10079895747387325,0.06695136212407152,0.07903916098862045,0.1689244359078375,0.081330382784201,0.24077092149794077,EMT_mesenchymal,1.9702376763914518,0.08150898739772303,KRAS,1.0
TCGA-05-4418,-0.8870428711069311,-0.3547385116761009,-0.512039937265511,-0.49709521214007285,0.43447753021018887,0.23302655836122502,0.19751217147327674,-0.37241006652830405,0.05854772654916225,0.09969809998862243,0.08518668939831639,0.0864693416254827,0.21950228914925968,0.17945270468078292,0.17319139330339306,0.09795175530498067,Basal,1.9898584825940497,-2.316647477661169,KRAS,1.0
TCGA-05-4420,-0.6884182357106101,-0.8336915751485591,-0.4511293539916144,-0.0789382831368142,-0.8907949031164601,-0.07092264614135257,0.9586781031628906,-0.5744138337070984,0.07165493551762103,0.061966176519197974,0.09084465113530267,0.13180742926325512,0.05852683506997147,0.13286819544832118,0.3720240022921914,0.08030777475413915,Proliferative,1.8508889945202762,0.011450994740742083,HRAS,1.0
TCGA-05-4422,-0.08755372855353166,-0.27774989800719246,0.02882902098984331,-0.7555109860825965,-0.5498411534070732,0.5394982095806706,-0.21066939796915524,-1.1434718155065982,0.1389480068120595,0.11488178486887274,0.15609777300994188,0.07124627619941047,0.08751519072582684,0.260122259562314,0.1228524623147551,0.0483362465068194,Mucinous_gastric,1.9684391074239431,0.5960556200334869,,0.0
TCGA-05-4424,0.5217073449836026,0.603273276881252,0.4359072185911604,-0.0005605852594353168,-0.20749097416653337,-0.07847603755053383,0.626262406678156,0.24140258743024548,0.15401883026212226,0.16710808209796554,0.1413550404663429,0.09135992629236662,0.07428258600913433,0.08451182681136082,0.1709942501464277,0.11636945791427986,Proliferative,2.0365226523737654,-0.19294922264133912,NF1,1.0
TCGA-05-4425,0.48842073279575704,-0.00782249697117062,0.418854726464685,-0.08736726702384963,0.207535312327907,0.6429122297050031,0.08711806614367695,0.444720870258631,0.1503139705028566,0.09151318071677372,0.14021265534445937,0.08451577838687535,0.11350431147405814,0.17542607693638218,0.10062729838502951,0.14388672825356516,Mucinous_gastric,2.050308740039815,0.33164466267268095,,
TCGA-05-4426,0.26335039129719057,-0.11320141476603912,-0.5311479072867764,0.49550543356322924,-0.323194731561611,-0.48186169641777815,-0.36629230802302726,-0.27819292885304514,0.18034727755794572,0.1237585519646797,0.08148231585478027,0.22747477523953388,0.10031740296612349,0.08559888216091278,0.09608580675273923,0.10493498750328485,Ciliated,2.011357191973214,0.23353619534382586,ROS1,1.0
